b'A Storm Of Light',http://metalstorm.net/bands/band.php?band_id=4803&bandname=A+Storm+Of+Light
b'A.I.(d)',http://metalstorm.net/bands/band.php?band_id=7644&bandname=A.I.%28d%29
b'A.M.S.G.',http://metalstorm.net/bands/band.php?band_id=7852&bandname=A.M.S.G.
b'Aabsynthum',http://metalstorm.net/bands/band.php?band_id=5417&bandname=Aabsynthum
b'Aarni',http://metalstorm.net/bands/band.php?band_id=638&bandname=Aarni
b'Aaskereia',http://metalstorm.net/bands/band.php?band_id=5026&bandname=Aaskereia
b'AATHMA',http://metalstorm.net/bands/band.php?band_id=9870&bandname=AATHMA
b'Abaddon Incarnate',http://metalstorm.net/bands/band.php?band_id=1842&bandname=Abaddon+Incarnate
b'Abandoned',http://metalstorm.net/bands/band.php?band_id=925&bandname=Abandoned
b'Abaton',http://metalstorm.net/bands/band.php?band_id=9374&bandname=Abaton
b'Abattoir',http://metalstorm.net/bands/band.php?band_id=3551&bandname=Abattoir
b'Abbath',http://metalstorm.net/bands/band.php?band_id=9162&bandname=Abbath
b'Aberrant Vascular',http://metalstorm.net/bands/band.php?band_id=1273&bandname=Aberrant+Vascular
b'Abgott',http://metalstorm.net/bands/band.php?band_id=4000&bandname=Abgott
b'Abhorrence',http://metalstorm.net/bands/band.php?band_id=7871&bandname=Abhorrence
b'Abhorrent',http://metalstorm.net/bands/band.php?band_id=9254&bandname=Abhorrent
b'Abidetherein',http://metalstorm.net/bands/band.php?band_id=6726&bandname=Abidetherein
b'Abigail Williams',http://metalstorm.net/bands/band.php?band_id=3519&bandname=Abigail+Williams
b'Abigor',http://metalstorm.net/bands/band.php?band_id=469&bandname=Abigor
b'Abiotic',http://metalstorm.net/bands/band.php?band_id=7456&bandname=Abiotic
b'Ablaze In Hatred',http://metalstorm.net/bands/band.php?band_id=3786&bandname=Ablaze+In+Hatred
b'Ablaze My Sorrow',http://metalstorm.net/bands/band.php?band_id=3494&bandname=Ablaze+My+Sorrow
b'Abnormal Thought Patterns',http://metalstorm.net/bands/band.php?band_id=9082&bandname=Abnormal+Thought+Patterns
b'Abnormality',http://metalstorm.net/bands/band.php?band_id=6407&bandname=Abnormality
b'Abominable Putridity',http://metalstorm.net/bands/band.php?band_id=3943&bandname=Abominable+Putridity
b'Abonos',http://metalstorm.net/bands/band.php?band_id=3274&bandname=Abonos
b'Aborted',http://metalstorm.net/bands/band.php?band_id=357&bandname=Aborted
b'Aborym',http://metalstorm.net/bands/band.php?band_id=753&bandname=Aborym
b'Abramis Brama',http://metalstorm.net/bands/band.php?band_id=1323&bandname=Abramis+Brama
b'Abruptum',http://metalstorm.net/bands/band.php?band_id=1581&bandname=Abruptum
b'Abscess',http://metalstorm.net/bands/band.php?band_id=2309&bandname=Abscess
b'Abscession',http://metalstorm.net/bands/band.php?band_id=8698&bandname=Abscession
b'Absconditus',http://metalstorm.net/bands/band.php?band_id=8980&bandname=Absconditus
b'Absence Of The Sacred',http://metalstorm.net/bands/band.php?band_id=6800&bandname=Absence+Of+The+Sacred
b'Absentation',http://metalstorm.net/bands/band.php?band_id=2428&bandname=Absentation
b'Abske Fides',http://metalstorm.net/bands/band.php?band_id=5372&bandname=Abske+Fides
b'Abstract Spirit',http://metalstorm.net/bands/band.php?band_id=3908&bandname=Abstract+Spirit
b'Abstracter',http://metalstorm.net/bands/band.php?band_id=8719&bandname=Abstracter
b'Abstrakt Algebra',http://metalstorm.net/bands/band.php?band_id=3425&bandname=Abstrakt+Algebra
b'Absu',http://metalstorm.net/bands/band.php?band_id=2740&bandname=Absu
b'Absurdist',http://metalstorm.net/bands/band.php?band_id=7553&bandname=Absurdist
b'Abused Majesty',http://metalstorm.net/bands/band.php?band_id=1460&bandname=Abused+Majesty
b'Abysmal Dawn',http://metalstorm.net/bands/band.php?band_id=3168&bandname=Abysmal+Dawn
b'Abysmal Grief',http://metalstorm.net/bands/band.php?band_id=5446&bandname=Abysmal+Grief
b'Abyssal',http://metalstorm.net/bands/band.php?band_id=7592&bandname=Abyssal
b'Abyssaria',http://metalstorm.net/bands/band.php?band_id=8327&bandname=Abyssaria
b'Abyssic Hate',http://metalstorm.net/bands/band.php?band_id=5079&bandname=Abyssic+Hate
b'AC/DC',http://metalstorm.net/bands/band.php?band_id=334&bandname=AC%2FDC
b'Acacia',http://metalstorm.net/bands/band.php?band_id=9393&bandname=Acacia
b'Accept',http://metalstorm.net/bands/band.php?band_id=291&bandname=Accept
b'Accu\xc2\xa7er',http://metalstorm.net/bands/band.php?band_id=4554&bandname=Accu%26sect%3Ber
b'Ace Frehley',http://metalstorm.net/bands/band.php?band_id=3206&bandname=Ace+Frehley
b'Ace Of Hearts',http://metalstorm.net/bands/band.php?band_id=9154&bandname=Ace+Of+Hearts
b'Acheron',http://metalstorm.net/bands/band.php?band_id=1181&bandname=Acheron
b'Acherontas',http://metalstorm.net/bands/band.php?band_id=7727&bandname=Acherontas
b'Acid Bath',http://metalstorm.net/bands/band.php?band_id=2687&bandname=Acid+Bath
b'Acid Drinkers',http://metalstorm.net/bands/band.php?band_id=2007&bandname=Acid+Drinkers
b'Acid King',http://metalstorm.net/bands/band.php?band_id=3946&bandname=Acid+King
b'Acid Reign',http://metalstorm.net/bands/band.php?band_id=4402&bandname=Acid+Reign
b'Acid Witch',http://metalstorm.net/bands/band.php?band_id=3634&bandname=Acid+Witch
b'Aclla',http://metalstorm.net/bands/band.php?band_id=7501&bandname=Aclla
b'Acrassicauda',http://metalstorm.net/bands/band.php?band_id=5247&bandname=Acrassicauda
b'Acrosome',http://metalstorm.net/bands/band.php?band_id=6467&bandname=Acrosome
b'Across The Sun',http://metalstorm.net/bands/band.php?band_id=4513&bandname=Across+The+Sun
b'Act Of Defiance',http://metalstorm.net/bands/band.php?band_id=9013&bandname=Act+Of+Defiance
b'Acyl',http://metalstorm.net/bands/band.php?band_id=7188&bandname=Acyl
b'Ad Inferna',http://metalstorm.net/bands/band.php?band_id=3599&bandname=Ad+Inferna
b'Ad Nauseam',http://metalstorm.net/bands/band.php?band_id=8935&bandname=Ad+Nauseam
b'Adagio',http://metalstorm.net/bands/band.php?band_id=22&bandname=Adagio
b'Adagio (BRA)',http://metalstorm.net/bands/band.php?band_id=2951&bandname=Adagio+%28BRA%29
b'Adaliah',http://metalstorm.net/bands/band.php?band_id=8738&bandname=Adaliah
b'Adamantine',http://metalstorm.net/bands/band.php?band_id=7258&bandname=Adamantine
b'Adastreia',http://metalstorm.net/bands/band.php?band_id=3650&bandname=Adastreia
b'Addaura',http://metalstorm.net/bands/band.php?band_id=7387&bandname=Addaura
b'Ade',http://metalstorm.net/bands/band.php?band_id=7724&bandname=Ade
b'Adimiron',http://metalstorm.net/bands/band.php?band_id=6707&bandname=Adimiron
b'Admiral Sir Cloudesley Shovell',http://metalstorm.net/bands/band.php?band_id=9660&bandname=Admiral+Sir+Cloudesley+Shovell
b'Ador Dorath',http://metalstorm.net/bands/band.php?band_id=2513&bandname=Ador+Dorath
b'Adorned Brood',http://metalstorm.net/bands/band.php?band_id=1142&bandname=Adorned+Brood
b'Adrenaline Mob',http://metalstorm.net/bands/band.php?band_id=6819&bandname=Adrenaline+Mob
b'Advent Of Bedlam',http://metalstorm.net/bands/band.php?band_id=6093&bandname=Advent+Of+Bedlam
b'Advent Sorrow',http://metalstorm.net/bands/band.php?band_id=7393&bandname=Advent+Sorrow
b'Adversarial',http://metalstorm.net/bands/band.php?band_id=7372&bandname=Adversarial
b'ADX',http://metalstorm.net/bands/band.php?band_id=3132&bandname=ADX
b'Aeba',http://metalstorm.net/bands/band.php?band_id=3287&bandname=Aeba
b'Aegaeon',http://metalstorm.net/bands/band.php?band_id=7329&bandname=Aegaeon
b'Aenaon',http://metalstorm.net/bands/band.php?band_id=6196&bandname=Aenaon
b'Aenygmist',http://metalstorm.net/bands/band.php?band_id=7194&bandname=Aenygmist
b'Aeon',http://metalstorm.net/bands/band.php?band_id=1762&bandname=Aeon
b'Aeon Of Horus',http://metalstorm.net/bands/band.php?band_id=3457&bandname=Aeon+Of+Horus
b'Aeon Throne',http://metalstorm.net/bands/band.php?band_id=7856&bandname=Aeon+Throne
b'Aeon Winds',http://metalstorm.net/bands/band.php?band_id=8831&bandname=Aeon+Winds
b'Aeon Zen',http://metalstorm.net/bands/band.php?band_id=6112&bandname=Aeon+Zen
b'Aes Dana',http://metalstorm.net/bands/band.php?band_id=1680&bandname=Aes+Dana
b'Aesma Daeva',http://metalstorm.net/bands/band.php?band_id=1056&bandname=Aesma+Daeva
b'Aeternam',http://metalstorm.net/bands/band.php?band_id=5519&bandname=Aeternam
b'Aeternus',http://metalstorm.net/bands/band.php?band_id=232&bandname=Aeternus
b'Aetherian',http://metalstorm.net/bands/band.php?band_id=8714&bandname=Aetherian
b'Aethernaeum',http://metalstorm.net/bands/band.php?band_id=7118&bandname=Aethernaeum
